"NOME_PRODOTTO","DATA_RILEVAZIONE","PREZZO","IVA","ACCISA","NETTO"
"GPL","2012-04-30","874.12","151.71","147.27","575.14"
"Benzina","2012-05-07","1831.02","317.78","704.20","809.04"
"Gasolio auto","2012-05-07","1722.47","298.94","593.20","830.33"
"GPL","2012-05-07","860.54","149.35","147.27","563.92"
"Benzina","2012-05-14","1786.78","310.10","704.20","772.48"
"Gasolio auto","2012-05-14","1694.62","294.11","593.20","807.31"
"GPL","2012-05-14","835.64","145.03","147.27","543.34"
"Benzina","2012-05-21","1777.45","308.48","704.20","764.77"
"Gasolio auto","2012-05-21","1684.69","292.38","593.20","799.11"
"GPL","2012-05-21","821.83","142.63","147.27","531.93"
"Benzina","2012-05-28","1775.12","308.08","704.20","762.84"
"Gasolio auto","2012-05-28","1679.20","291.43","593.20","794.57"
"GPL","2012-05-28","817.69","141.91","147.27","528.51"
"Benzina","2012-06-04","1778.29","308.63","704.20","765.46"
"Gasolio auto","2012-06-04","1678.22","291.26","593.20","793.76"
"GPL","2012-06-04","817.35","141.85","147.27","528.23"
"Benzina","2012-06-11","1768.17","306.87","724.20","737.10"
"Gasolio auto","2012-06-11","1664.54","288.89","613.20","762.45"
"GPL","2012-06-11","804.72","139.66","147.27","517.79"
"Benzina","2012-06-18","1755.34","304.65","724.20","726.49"
"Gasolio auto","2012-06-18","1649.06","286.20","613.20","749.66"
"GPL","2012-06-18","783.45","135.97","147.27","500.21"
"Benzina","2012-06-25","1730.53","300.34","724.20","705.99"
"Gasolio auto","2012-06-25","1622.76","281.64","613.20","727.92"
"GPL","2012-06-25","757.62","131.49","147.27","478.86"
"Benzina","2012-07-02","1719.88","298.49","724.20","697.19"
"Gasolio auto","2012-07-02","1613.52","280.03","613.20","720.29"
"GPL","2012-07-02","747.75","129.77","147.27","470.71"
"Benzina","2012-07-09","1743.23","302.54","724.20","716.49"
"Gasolio auto","2012-07-09","1634.69","283.71","613.20","737.78"
"GPL","2012-07-09","744.75","129.25","147.27","468.23"
"Benzina","2012-07-16","1757.58","305.03","724.20","728.35"
"Gasolio auto","2012-07-16","1648.74","286.14","613.20","749.40"
"GPL","2012-07-16","740.56","128.53","147.27","464.76"
"Benzina","2012-07-23","1777.87","308.56","724.20","745.11"
"Gasolio auto","2012-07-23","1682.95","292.08","613.20","777.67"
"GPL","2012-07-23","735.13","127.58","147.27","460.28"
"Benzina","2012-07-30","1779.47","308.83","724.20","746.44"
"Gasolio auto","2012-07-30","1687.82","292.93","613.20","781.69"
"GPL","2012-07-30","733.76","127.35","147.27","459.14"
"Benzina","2012-08-06","1785.91","309.95","724.20","751.76"
"Gasolio auto","2012-08-06","1689.27","293.18","613.20","782.89"
"GPL","2012-08-06","754.24","130.90","147.27","476.07"
"Benzina","2012-08-13","1812.09","314.49","728.40","769.20"
"Gasolio auto","2012-08-13","1711.27","297.00","617.40","796.87"
"GPL","2012-08-13","777.40","134.92","147.27","495.21"
"Benzina","2012-08-20","1847.42","320.63","728.40","798.39"
"Gasolio auto","2012-08-20","1740.30","302.04","617.40","820.86"
"GPL","2012-08-20","784.10","136.08","147.27","500.75"
"Benzina","2012-08-27","1870.13","324.57","728.40","817.16"
"Gasolio auto","2012-08-27","1759.24","305.32","617.40","836.52"
"GPL","2012-08-27","789.36","137.00","147.27","505.09"
"Benzina","2012-09-03","1870.61","324.65","728.40","817.56"
"Gasolio auto","2012-09-03","1759.94","305.44","617.40","837.10"
"GPL","2012-09-03","790.94","137.27","147.27","506.40"
"Benzina","2012-09-10","1889.81","327.98","728.40","833.43"
"Gasolio auto","2012-09-10","1777.80","308.54","617.40","851.86"
"GPL","2012-09-10","816.99","141.79","147.27","527.93"
"Benzina","2012-09-17","1877.64","325.87","728.40","823.37"
"Gasolio auto","2012-09-17","1773.15","307.74","617.40","848.01"
"GPL","2012-09-17","835.40","144.99","147.27","543.14"
"Benzina","2012-09-24","1845.73","320.33","728.40","797.00"
"Gasolio auto","2012-09-24","1747.41","303.27","617.40","826.74"
"GPL","2012-09-24","837.91","145.42","147.27","545.22"
"Benzina","2012-10-01","1845.18","320.24","728.40","796.54"
"Gasolio auto","2012-10-01","1746.67","303.14","617.40","826.13"
"GPL","2012-10-01","841.82","146.10","147.27","548.45"
"Benzina","2012-10-08","1836.78","318.78","728.40","789.60"
"Gasolio auto","2012-10-08","1744.68","302.80","617.40","824.48"
"GPL","2012-10-08","850.74","147.65","147.27","555.82"
"Benzina","2012-10-15","1845.42","320.28","728.40","796.74"
"Gasolio auto","2012-10-15","1749.97","303.71","617.40","828.86"
"GPL","2012-10-15","855.29","148.44","147.27","559.58"
