 idStation;speed;location;lat;lng
443049709206120-NC_1;slow;Via del Fondaco ‌Portofino;44.304970;9.206120
WA-TESLA-19738;fast;Via Milite Ignoto ‌Santa Margherita Ligure;44.325590;9.215243
NC-443272259215404;slow;Via Milite Ignoto ‌Santa Margherita Ligure;44.327225;9.215404
OCPI-128-8f113790-0121-4fc4-b4f4-849e2833ad48;fast;Calata del Porto ‌Santa Margherita Ligure;44.329991;9.216571
NC-443336819211701;slow,fast;Via della Vittoria 18A ‌Santa Margherita Ligure;44.333681;9.211701
OCPI-126-GS707.M504;slow,fast;Piazza Mazzini ‌Santa Margherita Ligure;44.334640;9.210430
OCPI-126-GS542.M504;slow,fast;Via A. Gramsci ‌Santa Margherita Ligure;44.335693;9.214659
NC-443371629217609;fast;Via Privata Assunta Costa ‌Santa Margherita Ligure;44.337162;9.217609
WA-TESLA-43198;fast;S. Margherita L. ‌Rapallo;44.338329;9.222458
OCPI-218-IT*JOI*EJN000031;fast;Via Cristoforo Colombo 56 ‌Zoagli;44.339220;9.268560
OCPI-126-SC0118.CB;slow,fast;Via dei Devoto ‌Lavagna;44.306819;9.343694
1376602.00288;fast;Viale Groppo ‌Chiavari;44.312038;9.330634
OCPI-126-GS540.M504;slow,fast;Corso Cristoforo Colombo, 37 ‌Chiavari;44.313590;9.323960
OCPI-129-12dbb048-4edc-4369-aab9-d35a4a321d34;fast;Via Miramare, 55 ‌Leivi;44.336280;9.333691
OCPI-126-SC0024.CB;slow,fast,rapid;Via Mulinetti, 5 - Coop I Leudi ‌Carasco;44.348410;9.347970
NC-443000569377502;slow;Via Costa 18 ‌Lavagna;44.300056;9.377502
OCPI-172-122;fast;Via Umberto Vittorio Podesta 1 ‌San Salvatore di Cogorno (GE);44.332897;9.351835
OCPI-126-GS239.M504;slow,fast;Via al Campo Sportivo ‌Ne;44.345550;9.401260
OCPI-130-20XP22T5HK4AZ00029;slow,fast;Strada Provinciale San Pietro Vara ‌Varese Ligure;44.334781;9.589174
OCPI-130-20XP22T5HK4AZ00030;slow,fast;Via Salterana ‌Varese Ligure;44.335392;9.587888
NC-443858517121637;slow;Paso Fauniera ‌Castelmagno;44.385851;7.121637
NC-443983757173014;slow;Borgata Ruà ‌Castelmagno;44.398375;7.173014
NC-443833407467866;slow;Via Roma ‌Cervasca;44.383110;7.468221
OCPI-172-50;fast;Via Cascina Colombaro ‌Cuneo (CN);44.374948;7.520155
NC-443756547521973;slow;Via Cascina Colombaro ‌Cuneo;44.375654;7.521973
OCPI-126-SC0110.CB;slow,fast;Piazza della Costituzione ‌Cuneo;44.378361;7.534919
OCPI-126-SC0111.CB;slow,fast;Piazza Europa ‌Cuneo;44.383522;7.541906
OCPI-126-SC0108.CB;slow,fast;Via Luigi Gallo ‌Cuneo;44.385367;7.545695
OCPI-126-SC0109.CB;slow,fast;Viale degli Angeli ‌Cuneo;44.386791;7.548630
WA-TESLA-33348;fast;Piazza Tancredi Galimberti ‌Cuneo;44.389751;7.548927
OCPI-126-SC0107.CB;slow,fast;Via Bonelli ‌Cuneo;44.389894;7.549347
OCPI-126-SC0106.CB;slow,fast;Lungostura John Fitzgerald Kennedy ‌Cuneo;44.391578;7.543024
EDS_TOY_0055;fast;Via Valle Maira, 44 ‌Cuneo;44.396167;7.533000
OCPI-130-21XP22T5HK4AM00197;slow,fast;Via Genova, Cuneo CN, Italy ‌Cuneo;44.385863;7.587379
NC-443900767578840;slow;Via Savona 81 ‌Cuneo;44.390076;7.578840
NC-443925847551797;slow;Via Savigliano ‌Cuneo;44.392584;7.551797
OCPI-126-SC0043.CB;slow,fast;Piazza Torino ‌Cuneo;44.395092;7.554052
NC-443522857622840;slow;via Vecchia di Santa Margherita 5 ‌12016 Peveragno;44.352285;7.622840
OCPI-218-IT*JOI*EJN000712;fast;Via Mondovì 88 ‌Beinette;44.367470;7.652180
NC-443694067711258;fast;Via Villanova Mondovì ‌Pianfei;44.369406;7.711258
NC-443898347722051;slow;Strada Provinciale 4 ‌Pianfei;44.389834;7.722051
OCPI-130-EVOS_thing2454;slow,fast;Via Case Molino, 28 12089 ‌Rocca De' Baldi;44.396664;7.744881
OCPI-130-EVOS_thing2427;slow,fast;Strada Bongiovanni ‌Villanova Mondovì;44.353637;7.785051
EDS_TOY_0094;fast;Via Silvestrini 9 ‌Villanova Mondovì;44.354111;7.784000
OCPI-126-SC0045.CB;slow,fast;Corso Statuto ‌Mondovì;44.387030;7.819410
OCPI-126-SC0052.CB;slow,fast;Via al Santuario ‌Vicoforte;44.369630;7.868060
OCPI-130-20XP22T5HK4AL00142;slow,fast;Via del Poggio ‌Vicoforte;44.364029;7.876916
WA-ENELIT-5077;slow,fast;Via Roma ‌Valzemola;44.361967;8.191757
OCPI-130-19XP22T3KK4AD00103;fast;Viale Cimitero ‌Millesimo;44.375800;8.198510
OCPI-130-19XP22T3KK4AD00182;fast;PIAZZA PERTINI ‌Millesimo;44.364577;8.208335
OCPI-130-EVOS_thing2605;slow,fast;Via Trento e Trieste 81 - OK Market ‌Millesimo;44.366957;8.203362
NC-443865138281817;fast;Corso Brigate Partigiane ‌Cairo Montenotte;44.386513;8.281817
OCPI-126-GS508.M504;fast;Piazza Abba ‌Cairo Montenotte;44.399639;8.273435
WA-TESLA-10284;slow,rapid;Via Savona ‌Varazze;44.351700;8.565417
NC-443566668568798;slow;Via Torino 36-38 ‌Varazze;44.356589;8.568685
NC-443626738596008;slow;Via Genova 43 ‌Varazze;44.362675;8.596008
OCPI-126-GS546.M504;slow,fast;Piazza Maggetti ‌Cogoleto;44.389940;8.645039
OCPI-126-GS495.M504;fast;Via Enea Recagno ‌Cogoleto;44.390210;8.643010
OCPI-130-18XP22T3KK4AH00331_4ddeuzyngb;fast;Piazza Rossetti ‌Genova;44.396533;8.945083
OCPI-130-EVOS_thing2506;slow,fast;Viale delle Brigate Partigiane ‌Genova;44.397817;8.943959
OCPI-130-EVOS_thing2593;slow,fast;Piazza San Francesco d'Assisi ‌Genova;44.399283;8.935134
OCPI-130-EVOS_thing2594;slow,fast;Viale Aspromonte 2 ‌Genova;44.399591;8.940181
OCPI-130-18XP22T5HK4AH00217_4dcd86xtlu;slow,fast;Piazza Egisto Sivelli ‌Genova;44.388341;8.995234
OCPI-130-EVOS_thing3658;fast;Corso Italia, 1 ‌Genova;44.389878;8.972713
OCPI-130-EVOS_thing2514;slow,fast;Via V Maggio, 4d ‌Genova;44.391752;8.987121
NC-443925378989081;slow;Via Gerolamo Gaslini ‌Genova;44.392536;8.989081
IT*IRE*GEDGMCL001;fast;Via Don Giovanni Minzoni ‌Genova;44.392565;8.967235
OCPI-126-GS524.M504;slow,fast;Via Piave ‌Genova;44.392616;8.953669
