"idStation","speed","location","lat","lng","Sigla","Provincia"
"1376602.00698","fast","Via Lago di Tovel ‌Altavilla Vicentina","45.517945","11.459857","VI","vicenza"
"OCPI-129-03486ab7-c123-4d72-b1ff-ff45bdea8f21","fast","Via Tavernelle, 9 ‌Altavilla Vicentina","45.51497","11.46205","VI","vicenza"
"NC-4551273111464577","slow","Piazza della Libertà ‌Altavilla Vicentina","45.512792","11.464639","VI","vicenza"
"NC-4551963711476333","fast","Via Olmo ‌Altavilla vicentina","45.519917","11.477051","VI","vicenza"
"NC-4552146311478134","slow","Via Olmo ‌Altavilla Vicentina","45.521461","11.478134","VI","vicenza"
"NC-4552208211480214","fast","Via Olmo ‌Altavilla Vicentina","45.522083","11.480214","VI","vicenza"
"EDS_TOY_0041","fast","Via Olmo 43 ‌Altavilla Vicentina","45.521472","11.482028","VI","vicenza"
"gir.vat.mx.033bdb","rapid","Via Olmo, 35 ‌Altavilla Vicentina","45.522469","11.485601","VI","vicenza"
"EDS_TOY_0033","fast","Via del Commercio, 5 ‌Vicenza","45.526222","11.498278","VI","vicenza"
"EDS_TOY_0039","fast","Via del Commercio, 5 ‌Vicenza","45.525944","11.498278","VI","vicenza"
"NC-4552766711502097","slow","Via del Commercio ‌Vicenza","45.527667","11.502097","VI","vicenza"
"NC-4553091911502243","slow","Via dei Pioppi ‌Vicenza","45.530918","11.502243","VI","vicenza"
"OCPI-129-0af9a135-46ce-4d3f-ac37-c76cb3623749","fast,rapid","Viale della Scienza, 6 ‌Vicenza","45.52686","11.50615","VI","vicenza"
"OCPI-129-f1abab11-8b35-45d5-ac9b-17c534a0d345","fast","Viale Sant' Agostino, 19 ‌Arcugnano","45.51067","11.50739","VI","vicenza"
"DW-210267","fast","Via dell'Economia, 131 ‌Vicenza","45.524591","11.508665","VI","vicenza"
"NC-4553504611510445","fast,rapid","Strada Padana Verso Verona ‌Vicenza","45.535047","11.510442","VI","vicenza"
"NC-4552582711510454","fast","Viale del Lavoro 52 ‌Vicenza","45.525826","11.510454","VI","vicenza"
"NC-4553510011511200","fast","Via Gerolamo Frescobaldi ‌Vicenza","45.535099","11.5112","VI","vicenza"
"NC-4554718511512514","fast","Via Giovanni Lanza 8 ‌Provincia di Vicenza","45.547185","11.512514","VI","vicenza"
"OCPI-144-EVB-P21251823","fast","Viale del lavoro 34 ‌Vicenza","45.526252","11.513089","VI","vicenza"
"NC-4553572211513542","fast","Via Benedetto Marcello 12 ‌Vicenza","45.535721","11.513542","VI","vicenza"
"NC-4553728411514335","fast","Viale San Lazzaro 110 ‌Vicenza","45.537285","11.514335","VI","vicenza"
"NC-4554337111529964","slow","Corso dei Santi Felice e Fortunato ‌Vicenza","45.543371","11.529964","VI","vicenza"
"NC-4554883111533198","fast","Via Battaglione Framarin ‌Vicenza","45.548897","11.533614","VI","vicenza"
"NC-4554443711538952","slow","Viale Verdi ‌Vicenza","45.544437","11.538952","VI","vicenza"
"NC-4554463611539544","slow","Viale Giuseppe Verdi ‌Vicenza","45.544636","11.539544","VI","vicenza"
"OCPI-130-19XP22T5HK4AD00109","slow,fast","PIAZZALE DELLA STAZIONE 31 - METROPARK ‌Vicenza","45.541686","11.539744","VI","vicenza"
"WA-TESLA-45843","fast","Piazzale Fraccon ‌Vicenza","45.541434","11.553201","VI","vicenza"
"NC-4554078911554714","slow","Borgo Berga 3 ‌Vicenza","45.540448","11.554747","VI","vicenza"
"NC-4554033811556797","fast","Via Giorgio Oliva 3 ‌Vicenza","45.540338","11.556797","VI","vicenza"
"NC-4554330011559082","slow","Via Bassano ‌Vicenza","45.543073","11.55927","VI","vicenza"
"NC-4554426411570120","fast","Via Bortolan ‌Vicenza","45.543798","11.569487","VI","vicenza"
