Provincia;Codice ISTAT Comune;Anno;Densita
VICENZA;24116;2005;1413.2
VICENZA;24116;2006;1418.0
VICENZA;24116;2007;1417.3
VICENZA;24116;2008;1421.9
VICENZA;24116;2009;1430.8
VICENZA;24116;2010;1436.5
VICENZA;24116;2011;1437.2
BELLUNO;25006;2000;238.3
BELLUNO;25006;2001;238.3
BELLUNO;25006;2002;239.1
BELLUNO;25006;2003;240.1
BELLUNO;25006;2004;241.1
BELLUNO;25006;2005;242.8
BELLUNO;25006;2006;244.1
BELLUNO;25006;2007;245.8
BELLUNO;25006;2008;247.6
BELLUNO;25006;2009;248.4
BELLUNO;25006;2010;248.7
BELLUNO;25006;2011;248.6
TREVISO;26086;2000;1479.5
TREVISO;26086;2001;1465.3
TREVISO;26086;2002;1449.5
TREVISO;26086;2003;1461.3
TREVISO;26086;2004;1474.1
TREVISO;26086;2005;1482.1
TREVISO;26086;2006;1478.9
TREVISO;26086;2007;1472.1
TREVISO;26086;2008;1476.1
TREVISO;26086;2009;1481.2
TREVISO;26086;2010;1486.6
TREVISO;26086;2011;1498.3
VENEZIA;27042;2000;669.9
VENEZIA;27042;2000;669.9
VENEZIA;27042;2001;662.2
VENEZIA;27042;2001;662.2
VENEZIA;27042;2002;652.4
VENEZIA;27042;2002;652.4
VENEZIA;27042;2003;650.6
VENEZIA;27042;2003;650.6
VENEZIA;27042;2004;652.6
VENEZIA;27042;2004;652.6
VENEZIA;27042;2005;650.4
VENEZIA;27042;2005;650.4
VENEZIA;27042;2006;647.6
VENEZIA;27042;2006;647.6
VENEZIA;27042;2007;646.6
VENEZIA;27042;2007;646.6
VENEZIA;27042;2008;648.0
VENEZIA;27042;2008;648.0
VENEZIA;27042;2009;650.2
VENEZIA;27042;2009;650.2
VENEZIA;27042;2010;651.2
VENEZIA;27042;2010;651.2
VENEZIA;27042;2011;650.9
VENEZIA;27042;2011;650.9
PADOVA;28060;2000;2267.3
PADOVA;28060;2001;2230.1
PADOVA;28060;2002;2208.6
PADOVA;28060;2003;2232.5
PADOVA;28060;2004;2260.4
PADOVA;28060;2005;2271.4
PADOVA;28060;2006;2268.6
PADOVA;28060;2007;2264.3
PADOVA;28060;2008;2273.1
PADOVA;28060;2009;2288.2
PADOVA;28060;2010;2300.4
PADOVA;28060;2011;2306.4
ROVIGO;29041;2000;466.2
ROVIGO;29041;2001;464.6
ROVIGO;29041;2002;463.5
ROVIGO;29041;2003;465.8
ROVIGO;29041;2004;468.1
ROVIGO;29041;2005;469.5
ROVIGO;29041;2006;470.9
ROVIGO;29041;2007;473.3
ROVIGO;29041;2008;476.5
ROVIGO;29041;2009;478.8
ROVIGO;29041;2010;483.1
ROVIGO;29041;2011;488.9
UDINE;30129;2000;1679.5
UDINE;30129;2001;1682.7
UDINE;30129;2002;1687.7
UDINE;30129;2003;1695.2
UDINE;30129;2004;1699.3
UDINE;30129;2005;1703.6
UDINE;30129;2006;1706.6
UDINE;30129;2007;1717.2
UDINE;30129;2008;1737.7
UDINE;30129;2009;1751.5
UDINE;30129;2010;1756.4
UDINE;30129;2011;1760.5
GORIZIA;31007;2000;903.2
GORIZIA;31007;2001;884.3
GORIZIA;31007;2002;868.5
GORIZIA;31007;2003;873.4
GORIZIA;31007;2004;883.7
GORIZIA;31007;2005;888.3
GORIZIA;31007;2006;882.9
GORIZIA;31007;2007;879.1
GORIZIA;31007;2008;876.6
GORIZIA;31007;2009;875.0
GORIZIA;31007;2010;873.0
GORIZIA;31007;2011;871.0
TRIESTE;32006;2000;2553.9
TRIESTE;32006;2001;2520.9
TRIESTE;32006;2002;2488.1
TRIESTE;32006;2003;2472.9
TRIESTE;32006;2004;2458.2
TRIESTE;32006;2005;2444.8
TRIESTE;32006;2006;2434.7
TRIESTE;32006;2007;2430.6
TRIESTE;32006;2008;2430.5
TRIESTE;32006;2009;2431.4
TRIESTE;32006;2010;2432.6
TRIESTE;32006;2011;2430.6
PIACENZA;33032;2000;830.6
PIACENZA;33032;2001;818.7
PIACENZA;33032;2002;814.0
PIACENZA;33032;2003;826.8
PIACENZA;33032;2004;834.6
PIACENZA;33032;2005;837.8
PIACENZA;33032;2006;839.8
PIACENZA;33032;2007;843.8
PIACENZA;33032;2008;852.9
PIACENZA;33032;2009;863.0
PIACENZA;33032;2010;869.0
PIACENZA;33032;2011;873.9
PARMA;34027;2000;649.5
PARMA;34027;2001;640.1
PARMA;34027;2002;629.9
PARMA;34027;2003;631.3
PARMA;34027;2004;650.0
PARMA;34027;2005;671.6
PARMA;34027;2006;676.6
PARMA;34027;2007;682.2
PARMA;34027;2008;692.4
PARMA;34027;2009;703.4
PARMA;34027;2010;711.7
PARMA;34027;2011;719.8
REGGIO NELL'EMILIA;35033;2000;625.7
REGGIO NELL'EMILIA;35033;2001;622.6
REGGIO NELL'EMILIA;35033;2002;618.7
REGGIO NELL'EMILIA;35033;2003;628.4
REGGIO NELL'EMILIA;35033;2004;651.9
REGGIO NELL'EMILIA;35033;2005;674.9
REGGIO NELL'EMILIA;35033;2006;684.9
REGGIO NELL'EMILIA;35033;2007;695.5
REGGIO NELL'EMILIA;35033;2008;707.8
REGGIO NELL'EMILIA;35033;2009;719.4
REGGIO NELL'EMILIA;35033;2010;729.3
REGGIO NELL'EMILIA;35033;2011;738.0
MODENA;36023;2000;965.8
MODENA;36023;2001;964.6
MODENA;36023;2002;962.3
MODENA;36023;2003;970.0
MODENA;36023;2004;979.6
MODENA;36023;2005;984.0
MODENA;36023;2006;983.9
MODENA;36023;2007;982.4
MODENA;36023;2008;987.1
MODENA;36023;2009;995.8
MODENA;36023;2010;1003.6
MODENA;36023;2011;1010.6
BOLOGNA;37006;2000;2704.2
BOLOGNA;37006;2001;2665.8
BOLOGNA;37006;2002;2641.2
BOLOGNA;37006;2003;2652.4
BOLOGNA;37006;2004;2657.4
BOLOGNA;37006;2005;2658.2
BOLOGNA;37006;2006;2653.2
BOLOGNA;37006;2007;2647.9
BOLOGNA;37006;2008;2654.7
BOLOGNA;37006;2009;2672.4
BOLOGNA;37006;2010;2691.0
BOLOGNA;37006;2011;2710.7
FERRARA;38008;2000;326.2
FERRARA;38008;2001;324.9
FERRARA;38008;2002;323.0
FERRARA;38008;2003;323.1
FERRARA;38008;2004;325.3
FERRARA;38008;2005;326.9
FERRARA;38008;2006;328.5
FERRARA;38008;2007;329.9
FERRARA;38008;2008;331.5
FERRARA;38008;2009;333.2
FERRARA;38008;2010;334.3
FERRARA;38008;2011;334.9
RAVENNA;39014;2000;213.0
RAVENNA;39014;2001;210.1
RAVENNA;39014;2002;207.7
RAVENNA;39014;2003;211.1
RAVENNA;39014;2004;219.0
RAVENNA;39014;2005;226.7
RAVENNA;39014;2006;229.9
RAVENNA;39014;2007;233.2
RAVENNA;39014;2008;236.9
RAVENNA;39014;2009;240.1
RAVENNA;39014;2010;242.2
RAVENNA;39014;2011;243.9
FORLI';40012;2000;471.8
FORLI';40012;2001;473.5
FORLI';40012;2002;476.3
FORLI';40012;2003;480.6
FORLI';40012;2004;485.8
FORLI';40012;2005;490.8
FORLI';40012;2006;495.4
FORLI';40012;2007;500.2
FORLI';40012;2008;505.9
FORLI';40012;2009;512.2
FORLI';40012;2010;516.5
FORLI';40012;2011;519.6
PESARO;41044;2000;704.7
PESARO;41044;2001;712.9
PESARO;41044;2002;720.8
PESARO;41044;2003;724.9
PESARO;41044;2004;727.2
PESARO;41044;2005;726.6
PESARO;41044;2006;727.4
PESARO;41044;2007;733.5
PESARO;41044;2008;741.4
PESARO;41044;2009;746.5
PESARO;41044;2010;749.8
PESARO;41044;2011;751.4
ANCONA;42002;2000;795.1
ANCONA;42002;2001;804.9
ANCONA;42002;2002;814.5
ANCONA;42002;2003;817.8
ANCONA;42002;2004;821.8
ANCONA;42002;2005;823.1
ANCONA;42002;2006;821.8
ANCONA;42002;2007;820.1
ANCONA;42002;2008;822.4
ANCONA;42002;2009;826.8
ANCONA;42002;2010;830.6
ANCONA;42002;2011;832.7
MACERATA;43023;2000;451.5
MACERATA;43023;2001;446.2
MACERATA;43023;2002;442.3
MACERATA;43023;2003;447.2
MACERATA;43023;2004;454.0
MACERATA;43023;2005;458.6
MACERATA;43023;2006;459.7
MACERATA;43023;2007;460.8
MACERATA;43023;2008;463.2
MACERATA;43023;2009;463.8
MACERATA;43023;2010;463.8
MACERATA;43023;2011;464.0
ASCOLI PICENO;44007;2000;325.4
ASCOLI PICENO;44007;2001;321.4
ASCOLI PICENO;44007;2002;320.0
ASCOLI PICENO;44007;2003;320.8
ASCOLI PICENO;44007;2004;322.3
